S.No.,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
38,Mercedes-Benz M-Class ML 350 CDI,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,136.0128
39,Volkswagen Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,24.288
40,Maruti Alto LXi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,6.072
41,Tata Nano LX SE,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,7.432128
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,27.105408
43,Hyundai i20 Magna Optional 1.2,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,23.025024
44,Hyundai Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,42.98976
45,Toyota Corolla Altis G AT,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,49.110336
46,Hyundai Elantra CRDi,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,20.6448
47,Toyota Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,53.19072
48,Hyundai Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,18.70176
49,Mahindra Thar CRDe AC,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,26.7168
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,104.098368
51,Maruti Swift LDI,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,20.6448
52,Maruti Swift Ldi BSIV,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,16.03008
53,Maruti Swift VDI,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,18.70176
54,Hyundai Grand i10 Sportz,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,17.48736
55,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,19.381824
56,Renault KWID RXT,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,16.03008
57,Hyundai i10 Asta,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,10.055232
58,Nissan X-Trail SLX AT,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,37.6464
59,Maruti Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,10.9296
60,Toyota Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,80.1504
61,Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,13.3584
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,129.69792
63,Mercedes-Benz New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,48.576
64,Tata Indica V2 eLS,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,12.144
65,Audi A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,65.5776
66,Honda City ZX CVT,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,8.98656
67,Mercedes-Benz C-Class Progressive C 220d,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,173.270592
68,Maruti Ertiga SHVS VDI,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,39.58944
69,Hyundai Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,51.0048
70,Porsche Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,70.4352
71,Mahindra XUV500 W8 4WD,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,46.87584
72,Hyundai i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,16.904448
73,Nissan Terrano XV D Pre,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,33.614592
74,Honda Brio VX AT,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,31.380096
75,Audi A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,143.2992
76,Ford Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,9.7152
77,Toyota Innova 2.0 G1,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,21.8592
78,Toyota Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,57.0768
79,Hyundai Santro Xing XL,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,6.31488
80,Maruti Swift VDI,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,18.216
81,Tata Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,21.8592
82,Honda Amaze SX i-VTEC,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,23.413632
83,Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,13.60128
84,Maruti Ritz VDi,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,15.107136
85,Honda City i VTEC E,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,15.7872
86,BMW 5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,67.52064
87,Hyundai i10 Sportz 1.2,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,10.9296
88,Hyundai Grand i10 Sportz,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,27.9312
89,Hyundai Santro Xing XO,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,10.20096
90,Honda Amaze SX i-VTEC,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,24.288
91,Toyota Fortuner 4x2 Manual,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,80.1504
92,Audi A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,192.263808
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,26.7168
94,Mahindra XUV500 W8 2WD,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,39.34656
95,Honda Amaze SX i-DTEC,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,17.0016
96,Volkswagen Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,13.552704
97,Hyundai Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,16.75872
98,Maruti Wagon R VXI BS IV,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,21.61632
99,Volkswagen Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,12.87264
100,Hyundai i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,18.45888
101,Hyundai i20 Asta 1.2,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,22.58784
102,Datsun GO Plus T Petrol,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,19.18752
103,Audi A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,47.60448
104,Hyundai i20 2015-2017 Asta,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,13.11552
105,Maruti Omni 5 Str STD,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,11.706816
106,Toyota Etios Liva 1.2 G,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,18.94464
107,Jaguar XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,116.5824
108,Mahindra XUV500 W8 2WD,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,27.9312
109,Hyundai Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,25.5024
110,Toyota Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,93.5088
111,Maruti Eeco 5 Seater AC,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,18.993216
112,Tata Nano Twist XT,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,10.44384
113,BMW 3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,100.7952
114,Honda Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,16.27296
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,53.967936
116,Volvo V40 Cross Country D3,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,97.152
117,Nissan Micra XV CVT,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,31.81728
118,BMW 5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,34.0032
119,Maruti Vitara Brezza VDi,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,36.432
120,Hyundai Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,4.12896
121,Mercedes-Benz B Class B200 CDI,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,81.3648
122,Hyundai Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,53.19072
123,Maruti Wagon R LXI BS IV,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,11.90112
124,Tata Nano XTA,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,15.690048
125,Mahindra Scorpio VLX,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,37.6464
126,Mercedes-Benz New C-Class 200 K AT,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,45.41856
127,Maruti Wagon R LXI CNG,2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,15.7872
128,Honda CR-V 2.4 MT,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,25.5024
129,Volkswagen Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,35.2176
130,Maruti Ciaz VXi Plus,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,36.286272
131,Mahindra XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,64.3632
132,Maruti Ritz VXI ABS,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,28.222656
133,Maruti Alto K10 VXI,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,12.62976
134,Mercedes-Benz SLC 43 AMG,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,262.3104
135,Hyundai Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,55.8624
136,Maruti Alto LXi BSIII,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,7.77216
137,BMW 1 Series 118d Base,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,83.647872
138,Honda Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,29.1456
139,Honda Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,19.18752
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,87.19392
141,Honda Amaze SX i-DTEC,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,17.97312
142,Maruti Swift VVT VXI,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,26.376768
143,Hyundai Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,8.112192
144,Toyota Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,65.529024
145,Chevrolet Beat LT Option,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,13.84416
146,Skoda Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,23.0736
147,Maruti Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,48.09024
148,Audi RS5 Coupe,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,179.7312
149,BMW 3 Series Luxury Line,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,128.7264
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,113.279232
151,Maruti Swift VDI,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,30.36
152,Mercedes-Benz S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,145.728
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,47.895936
154,Skoda Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,41.2896
155,Hyundai EON Magna Plus,2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,20.547648
156,Volkswagen Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,17.0016
157,Datsun GO NXT,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,12.144
158,Honda Brio S MT,2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,11.609664
159,Mercedes-Benz B Class B180,2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,54.648
160,Honda City i DTEC V,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,34.537536
161,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,52.94784
162,Maruti Swift VXI Optional,2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,30.11712
163,Mahindra XUV500 W8 2WD,2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,38.37504
164,Ford Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,21.470592
165,Toyota Fortuner 4x2 Manual,2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,65.5776
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,30.36
167,Ford Figo Diesel Titanium,2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,10.20096
168,BMW X5 xDrive 30d,2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,218.592
169,Mercedes-Benz New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,163.506816
170,Honda Brio V MT,2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,17.73024
171,Hyundai i10 Magna 1.2,2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,13.3584
172,Mercedes-Benz GLC 220,2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,206.448
173,Hyundai Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,31.5744
174,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,92.2944
175,Volkswagen Vento Petrol Highline AT,2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,21.61632
176,Mini Countryman Cooper D,2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,111.7248
177,Hyundai i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,40.56096
178,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,111.48192
179,Chevrolet Beat Diesel LT,2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,7.2864
180,Skoda Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,33.468864
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,7.04352
182,BMW 5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,162.7296
183,Chevrolet Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,6.072
184,Volkswagen Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,20.40192
185,Renault Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,32.7888
186,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,155.4432
187,Maruti Baleno Alpha,2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,36.432
188,Hyundai Verna 1.6 SX,2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,22.34496
189,Hyundai i10 Magna 1.1,2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,19.624704
190,Mahindra Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,50.081856
191,Land Rover Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,270.859776
192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,12.62976
193,Maruti Ertiga ZDI,2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,41.2896
194,Honda City 1.5 GXI,2007,60006,Petrol,Manual,First,0.0 kmpl,,,,14.32992
195,Honda Amaze S i-Dtech,2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,17.0016
196,Hyundai i10 Magna,2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,17.24448
197,Honda Amaze S i-Dtech,2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,15.7872
198,Skoda Laura Ambiente,2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5,21.8592
199,Renault Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,25.98816
200,Mahindra NuvoSport N6,2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7,31.5744
201,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,43.7184
202,Hyundai i20 Asta Option 1.2,2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,29.1456
203,Skoda Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,5,13.3584
204,Tata Indigo eCS GLX,2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,5,7.2864
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,96.66624
206,Skoda Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.5 bhp,5,48.576
207,Toyota Etios Liva GD SP,2014,104000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5,14.5728
